Scores for the first eight non-phylogenetic PCÕs for all species (n = 2028) in our data. ,,,,,,,,,,,,
,,,,,,,,,,,,
TipLabel,Genus,Family,Order,Subgroup,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
Aepypodius_arfakianus,Aepypodius,Megapodiidae,GALLIFORMES,GALLIFORMES,0.171416207,-0.041557042,-0.073274802,-0.039113037,0.012581455,0.028029016,-0.010079884,0.006068649
Aeronautes_andecolus,Aeronautes,Apodidae,APODIFORMES,APODIFORMES,0.430050383,0.321418303,0.13277779,0.095858482,0.014593027,0.047545381,0.005899971,-0.013228346
Aethia_psittacula,Aethia,Alcidae,CHARADRIIFORMES,CHARADRIIFORMES,0.120072476,0.066648437,-0.123379532,-0.193023916,-0.074142453,-0.092908765,-0.058309516,-0.00591978
Aethopyga_mystacalis,Aethopyga,Nectariniidae,PASSERIFORMES,Passeroidea,-0.173755228,-0.104723934,0.012935007,0.071084125,0.001778285,-0.000958198,0.007712201,0.007309731
Afropavo_congensis,Afropavo,Phasianidae,GALLIFORMES,GALLIFORMES,0.08029762,0.014387493,-0.021060323,-0.008006054,0.026760344,0.03431123,0.011005308,0.003071316
Agamia_agami,Agamia,Ardeidae,PELECANIFORMES,PELECANIFORMES,-0.341516492,-0.001214513,-0.013172465,-0.012279312,0.008012854,0.002732743,-0.005599234,0.014466429
Agapornis_swindernianus,Agapornis,Psittacidae,PSITTACIFORMES,PSITTACIFORMES,0.24693796,-0.142083396,-0.011193117,-0.019653809,0.05019251,-0.03999872,-0.022664484,0.007542058
Agelaioides_badius,Agelaioides,Icteridae,PASSERIFORMES,Passeroidea,-0.002119322,-0.143434654,0.03361879,-0.014129345,-0.037356553,0.027136299,0.008099394,0.00063121
Agelaius_phoeniceus,Agelaius,Icteridae,PASSERIFORMES,Passeroidea,-0.055392517,-0.201687361,0.065318451,-0.024894303,-0.04356443,0.028302057,0.014797569,0.00895377
Agelastes_niger,Agelastes,Numididae,GALLIFORMES,GALLIFORMES,0.143094255,0.007681761,-0.026950123,0.008697828,0.019396511,0.04211338,0.014881425,0.002706242
Agelasticus_thilius,Agelasticus,Icteridae,PASSERIFORMES,Passeroidea,-0.155599741,-0.13567552,0.055364549,-0.025732,-0.031074229,0.014508194,0.011886236,0.002175996
Aglaeactis_cupripennis,Aglaeactis,Trochilidae,APODIFORMES,TROCHILIFORMES,-0.306986819,-0.010935739,0.00564712,-0.025609062,0.000829508,-0.004062013,-0.004455934,0.006033171
Aglaiocercus_kingi,Aglaiocercus,Trochilidae,APODIFORMES,TROCHILIFORMES,-0.287773953,-0.013231248,-0.015492269,-0.037888054,0.006160237,0.007956383,-0.008737189,0.011078703
Agriornis_montanus,Agriornis,Tyrannidae,PASSERIFORMES,Tyrannidae,-0.098602526,-0.010016478,0.033935247,-0.02013769,0.009085937,-0.008249155,0.00234751,-0.002572623
Ailuroedus_crassirostris,Ailuroedus,Ptilonorhynchidae,PASSERIFORMES,Ptilonorhynchoidea,0.136166078,0.084757242,-0.042665834,-0.058463613,-0.016228872,0.00381525,-0.006535512,0.005324872
Aimophila_botterii,Aimophila,Emberizidae,PASSERIFORMES,Passeroidea,0.131866355,-0.081727388,0.020810454,0.013812963,-0.044016597,0.022240308,-0.001303682,0.003712044
Aix_sponsa,Aix,Anatidae,ANSERIFORMES,ANSERIFORMES,0.046308677,0.035800288,0.025752256,-0.092657396,0.08820939,0.025268795,0.027109467,-0.001456049
Alaemon_alaudipes,Alaemon,Alaudidae,PASSERIFORMES,Sylvioidea,-0.191670469,-0.0036883,0.000463689,0.018712821,0.017537031,0.002861743,0.001881464,-0.006594632
Alauda_arvensis,Alauda,Alaudidae,PASSERIFORMES,Sylvioidea,0.033253508,-0.024271899,0.040776528,-0.008886589,-0.026063201,0.007865168,-0.00073282,-0.014503607
Alca_torda,Alca,Alcidae,CHARADRIIFORMES,CHARADRIIFORMES,0.058005762,0.153755576,-0.203040741,-0.062513217,-0.031490389,-0.046617884,-0.034525529,-0.009597349
Alcedo_pusilla,Alcedo,Alcedinidae,CORACIIFORMES,CORACIIFORMES,-0.201646862,0.006509434,-0.004529978,-0.028077973,-0.027733315,-0.00322652,-0.006022468,8.98E-05
Alcippe_ruficapilla,Alcippe,Timaliidae,PASSERIFORMES,Sylvioidea,0.014101377,-0.023222598,-0.018985213,-0.035696577,0.010696978,0.013394642,-0.004137914,-0.007825804
Aleadryas_rufinucha,Aleadryas,Pachycephalidae,PASSERIFORMES,Corvoidea,0.038444762,-0.093032361,-0.011283396,0.002523885,-0.015877459,-0.015827132,-0.011218549,-0.017187864
Alectoris_chukar,Alectoris,Phasianidae,GALLIFORMES,GALLIFORMES,0.159275745,-0.056232562,-0.018703482,-0.0213858,0.028670276,0.017241714,-0.010485126,-0.015850683
Alectroenas_madagascariensis,Alectroenas,Columbidae,COLUMBIFORMES,COLUMBIFORMES,-0.063633974,0.044748236,-0.006963156,0.033016274,0.070231036,-0.008052035,-0.003849404,0.002756558
Alectrurus_tricolor,Alectrurus,Tyrannidae,PASSERIFORMES,Tyrannidae,0.098361635,0.02086525,0.097668488,-0.016635218,0.020732287,-0.002481663,0.006516265,0.011613748
Alectura_lathami,Alectura,Megapodiidae,GALLIFORMES,GALLIFORMES,0.161821413,0.05870934,-0.09093515,-0.045185932,0.027229021,0.042201458,-0.023879946,0.005037232
Alethe_poliophrys,Alethe,Turdidae,PASSERIFORMES,Muscicapoidea,-0.002893704,0.121096076,0.010334365,0.015627729,-0.011669876,-0.021632467,0.00045627,-0.005967463
Alipiopsitta_xanthops,Alipiopsitta,Psittacidae,PSITTACIFORMES,PSITTACIFORMES,0.231864344,-0.260602749,0.012362043,0.022668078,0.066081912,-0.04570165,-0.034321659,-0.007543463
Alisterus_amboinensis,Alisterus,Psittacidae,PSITTACIFORMES,PSITTACIFORMES,0.256602614,-0.198241557,0.012070177,0.010222884,0.05955748,-0.011466967,-0.011410032,0.027291257
Alle_alle,Alle,Alcidae,CHARADRIIFORMES,CHARADRIIFORMES,0.050701231,0.077214013,-0.100100499,-0.05218668,0.004618938,0.035711486,-0.009033175,0.010861239
Alophoixus_finschii,Alophoixus,Pycnonotidae,PASSERIFORMES,Sylvioidea,0.017601257,0.028181495,0.010860173,0.014434422,-0.022318376,-0.007776761,0.000463586,-0.001982925
Alopochelidon_fucata,Alopochelidon,Hirundinidae,PASSERIFORMES,Sylvioidea,0.257757019,0.267330926,0.122049889,0.038519606,-0.035646839,-0.017520615,0.010136982,-0.002921926
Alopochen_aegyptiaca,Alopochen,Anatidae,ANSERIFORMES,ANSERIFORMES,0.105068156,-0.02635289,0.039289627,-0.122665343,0.097975425,0.028962752,0.027117029,-0.004996763
Amadina_fasciata,Amadina,Estrildidae,PASSERIFORMES,Passeroidea,0.267021532,-0.211845903,0.008280335,-0.053709834,-0.044545635,0.006635036,-0.007187239,0.003827829
Amalocichla_incerta,Amalocichla,Petroicidae,PASSERIFORMES,Petroicidae,-0.06947729,0.12044051,-0.004589111,-0.004661269,-0.019381502,-0.014455723,-0.001419248,0.000820952
Amandava_amandava,Amandava,Estrildidae,PASSERIFORMES,Passeroidea,0.218340265,-0.182555451,0.025209638,-0.031846648,-0.038648488,0.027062169,0.006921511,0.023137666
Amaurocichla_bocagei,Amaurocichla,Sylviidae,PASSERIFORMES,Sylvioidea,-0.184216145,-0.029751916,0.054155907,-0.002942003,-0.00659705,-0.001928742,0.007458391,-0.002256038
Amaurolimnas_concolor,Amaurolimnas,Rallidae,GRUIFORMES,GRUIFORMES,-0.158454636,-0.073417345,-0.061873239,-0.012274771,-0.036567154,0.018922564,0.008387067,-0.00137511
Amaurornis_olivacea,Amaurornis,Rallidae,GRUIFORMES,GRUIFORMES,-0.081826699,-0.125257933,-0.00493442,-0.031705512,0.001656119,0.010692231,0.010205358,-0.001233767
Amaurospiza_concolor,Amaurospiza,Cardinalidae,PASSERIFORMES,Passeroidea,0.224313361,-0.192952344,0.157491443,0.062317912,-0.014625448,0.004637316,-0.022194978,-0.009474313
Amazilia_viridicauda,Amazilia,Trochilidae,APODIFORMES,TROCHILIFORMES,-0.317415214,-0.052051905,-0.006392557,-0.002362112,0.01159837,0.008575904,-0.005280636,0.008489196
Amazona_autumnalis,Amazona,Psittacidae,PSITTACIFORMES,PSITTACIFORMES,0.264019306,-0.217413817,-0.045753297,0.009730576,0.048571759,-0.017083412,-0.000349044,0.027485182
Amazonetta_brasiliensis,Amazonetta,Anatidae,ANSERIFORMES,ANSERIFORMES,-0.011228081,0.033698904,0.019489329,-0.161325796,0.090694119,0.018074597,0.02912909,-0.016800878
Amblycercus_holosericeus,Amblycercus,Icteridae,PASSERIFORMES,Passeroidea,-0.107123909,-0.255517827,0.076434385,-0.012901054,-0.027661887,0.036812719,0.014356095,0.010458411
Amblyornis_macgregoriae,Amblyornis,Ptilonorhynchidae,PASSERIFORMES,Ptilonorhynchoidea,0.123853086,0.15802247,-0.002950746,-0.002067758,-0.01302311,-0.000859305,-0.009497452,-0.002051903
Amblyospiza_albifrons,Amblyospiza,Ploceidae,PASSERIFORMES,Passeroidea,0.240944977,-0.197016055,0.005976741,-0.055066987,-0.010918505,0.039227007,-0.025231123,-0.015926322
Amblyramphus_holosericeus,Amblyramphus,Icteridae,PASSERIFORMES,Passeroidea,-0.093370934,-0.179676328,0.084835154,-0.037362251,-0.005914328,0.032254419,0.018622585,-0.004497395
Ammodramus_savannarum,Ammodramus,Emberizidae,PASSERIFORMES,Passeroidea,0.132681756,-0.149242201,0.029271243,-0.012715496,-0.045110362,0.015092112,-0.003223601,0.009282071
Ammomanes_grayi,Ammomanes,Alaudidae,PASSERIFORMES,Sylvioidea,-0.009499779,0.035420956,0.024053933,0.002062585,-0.00849214,0.005721749,-0.005861611,-0.003506004
Ammoperdix_griseogularis,Ammoperdix,Phasianidae,GALLIFORMES,GALLIFORMES,0.166824594,0.003346785,-0.011302323,-0.014261483,0.019606541,0.029640987,-0.001383821,-0.020134021
Ampeliceps_coronatus,Ampeliceps,Sturnidae,PASSERIFORMES,Muscicapoidea,0.09910326,0.247116603,-0.063564738,-0.003613151,-0.037102492,0.010001212,-0.001249365,0.006398091
Ampelioides_tschudii,Ampelioides,Cotingidae,PASSERIFORMES,Cotingidae,0.142457821,0.055321898,0.080301004,0.021270701,0.036522992,-0.015407509,-0.009458136,0.011166814
Ampelion_rubrocristatus,Ampelion,Cotingidae,PASSERIFORMES,Cotingidae,0.141280397,0.019623444,0.039409973,0.0292249,-0.018113333,-0.013977355,0.00796855,0.005297804
Amphilais_seebohmi,Amphilais,Sylviidae,PASSERIFORMES,Sylvioidea,-0.102477075,0.010033496,0.001263903,-0.002679445,-0.016651329,-0.002968509,0.007838305,0.00201296
Amphispiza_belli,Amphispiza,Emberizidae,PASSERIFORMES,Passeroidea,0.115943689,-0.105999551,0.026840209,-0.026021333,-0.040172873,0.028417766,0.008954686,0.002758045
Amytornis_barbatus,Amytornis,Maluridae,PASSERIFORMES,Meliphagoidea,0.054280436,-0.022180837,-0.039704225,-0.017920951,0.013339288,0.009683604,-0.01381134,-0.006686604
Anabacerthia_variegaticeps,Anabacerthia,Furnariidae,PASSERIFORMES,Furnariidae,-0.034995408,-0.018415456,-0.001040261,-0.006582174,-0.026152961,-0.00342729,-0.007040443,-0.007566532
Anabazenops_fuscus,Anabazenops,Furnariidae,PASSERIFORMES,Furnariidae,-0.107289061,0.047308244,-0.032673888,-0.03107452,-0.048092358,-0.011312421,-0.004650396,-0.018461069
Anairetes_agilis,Anairetes,Tyrannidae,PASSERIFORMES,Tyrannidae,0.018619595,0.151824203,0.036502408,-0.014025527,0.018545533,-0.006071155,-0.014944074,-0.003776185
Anaplectes_rubriceps,Anaplectes,Ploceidae,PASSERIFORMES,Passeroidea,0.02832457,-0.068763079,0.055232526,0.008674275,-0.022811328,0.014315378,0.013372413,-0.005588984
Anarhynchus_frontalis,Anarhynchus,Charadriidae,CHARADRIIFORMES,CHARADRIIFORMES,-0.301272244,-0.079771943,0.06751418,-0.013509346,-0.010519257,-0.003815336,0.001721366,0.002186739
Anas_platyrhynchos,Anas,Anatidae,ANSERIFORMES,ANSERIFORMES,-0.024798129,0.024068929,0.044975019,-0.13497787,0.111885192,0.011140791,0.020525882,-0.019695495
Anastomus_oscitans,Anastomus,Ciconiidae,CICONIIFORMES,CICONIIFORMES,-0.242174263,-0.170712413,-0.002770731,-0.011950438,-0.024839997,-0.014808391,-0.010372055,0.014135122
Ancistrops_strigilatus,Ancistrops,Furnariidae,PASSERIFORMES,Furnariidae,-0.053038433,-0.087396078,0.010477038,-0.012643755,-0.048301981,-0.02301852,0.005424576,-0.016170916
Andigena_laminirostris,Andigena,Ramphastidae,PICIFORMES,PICIFORMES,-0.079958115,0.004692653,-0.065557777,0.021611699,0.013201564,-0.002817627,-0.007078822,0.009431411
Androdon_aequatorialis,Androdon,Trochilidae,APODIFORMES,TROCHILIFORMES,-0.340406267,-0.060553471,0.028538812,-0.01823625,-0.007736885,0.001305936,-3.06E-05,0.011430022
Andropadus_montanus,Andropadus,Pycnonotidae,PASSERIFORMES,Sylvioidea,0.008467556,0.10614825,0.003444871,0.010924175,-0.015633143,-0.010190083,-0.004055468,0.00161289
Anhima_cornuta,Anhima,Anhimidae,ANSERIFORMES,ANSERIFORMES,0.099031095,-0.176822869,0.025551771,0.029429565,0.072117021,0.015910562,0.013372111,-0.0245232
Anhinga_anhinga,Anhinga,Anhingidae,SULIFORMES,SULIFORMES,-0.303972237,0.005270841,-0.003233473,-0.011695654,-0.013209781,-0.00372341,-0.005082144,0.005269175
Anisognathus_lacrymosus,Anisognathus,Thraupidae,PASSERIFORMES,Passeroidea,0.165600432,-0.02782955,0.011614826,-0.010627736,-0.035904404,0.023210504,0.007028563,0.006346849
Anodorhynchus_leari,Anodorhynchus,Psittacidae,PSITTACIFORMES,PSITTACIFORMES,0.117204454,-0.292279333,-0.058780433,0.168627249,0.089396918,-0.030466581,-0.016622621,0.001833328
Anomalospiza_imberbis,Anomalospiza,Viduidae,PASSERIFORMES,Passeroidea,0.277273245,-0.244310993,0.039256545,-0.05785848,-0.073457208,0.006063181,-0.00551089,0.00075314
Anorrhinus_austeni,Anorrhinus,Bucerotidae,BUCEROTIFORMES,BUCEROTIFORMES,-0.034323733,-0.115045534,-0.111635402,0.046402981,-0.006599098,0.021957186,-0.039710783,0.023544783
Anous_stolidus,Anous,Laridae,CHARADRIIFORMES,CHARADRIIFORMES,-0.216907546,0.062135917,-0.05965298,-0.001966423,-0.01432544,-0.008874772,-0.00050928,0.011548148
Anser_fabalis,Anser,Anatidae,ANSERIFORMES,ANSERIFORMES,0.028703699,-0.071614012,0.027563472,-0.051873318,0.047934269,0.041242372,0.02903113,-0.03267471
Anseranas_semipalmata,Anseranas,Anseranatidae,ANSERIFORMES,ANSERIFORMES,-0.007034122,-0.028758391,0.006610598,-0.083548039,0.075638507,0.000365597,0.026417396,-0.001355091
Anthocephala_floriceps,Anthocephala,Trochilidae,APODIFORMES,TROCHILIFORMES,-0.290571186,0.0446977,0.00476612,-0.013118264,0.005864457,-0.007067186,-0.008109918,0.000487779
Anthochaera_chrysoptera,Anthochaera,Meliphagidae,PASSERIFORMES,Meliphagoidea,-0.095518084,0.041317388,-0.027031467,0.003940706,0.021786049,0.007378051,-0.00497904,0.004554842
Anthornis_melanura,Anthornis,Meliphagidae,PASSERIFORMES,Meliphagoidea,-0.067694853,0.082806061,-0.039491137,0.023953172,0.00603809,0.013418402,-0.005169835,0.014031938
Anthoscopus_punctifrons,Anthoscopus,Remizidae,PASSERIFORMES,Sylvioidea,-0.008986854,-0.074455408,0.032203638,-0.014160827,-0.050034921,0.010713071,0.011006601,-0.009647847
Anthracoceros_coronatus,Anthracoceros,Bucerotidae,BUCEROTIFORMES,BUCEROTIFORMES,-0.020131647,-0.296991283,-0.130904744,0.053161613,0.02989047,-0.034506059,-0.079212113,-0.003084748
Anthracothorax_viridigula,Anthracothorax,Trochilidae,APODIFORMES,TROCHILIFORMES,-0.301492876,-0.16592074,0.023159924,0.025698088,0.019128775,0.011912158,0.003076559,0.007759104
Anthreptes_longuemarei,Anthreptes,Nectariniidae,PASSERIFORMES,Passeroidea,-0.135557865,-0.045637101,0.033323587,0.014356356,-0.019755278,0.003872813,0.00278984,0.007563948
Anthus_novaeseelandiae,Anthus,Motacillidae,PASSERIFORMES,Passeroidea,-0.094628582,-0.009019337,0.022984097,0.005830659,-0.032398372,-0.005634243,0.010984287,-0.007926415
Antilophia_galeata,Antilophia,Pipridae,PASSERIFORMES,Cotingidae,0.204900049,0.375374922,-0.044237318,-0.012715546,-0.036873095,0.017727068,0.00563392,0.01159026
Anumbius_annumbi,Anumbius,Furnariidae,PASSERIFORMES,Furnariidae,-0.079567107,0.084045432,-0.046983711,0.007463349,-0.014462271,0.019373584,0.004821675,0.002376829
Anurolimnas_castaneiceps,Anurolimnas,Rallidae,GRUIFORMES,GRUIFORMES,-0.031161557,-0.050715886,0.000405908,-0.006601691,-0.008564218,0.007961446,0.016301527,0.003786635
Anurophasis_monorthonyx,Anurophasis,Phasianidae,GALLIFORMES,GALLIFORMES,0.214150682,-0.033526292,-0.035475632,-0.01163066,0.018325664,0.050306478,0.012846411,-0.01787114
Apalharpactes_reinwardtii,Apalharpactes,Trogonidae,TROGONIFORMES,TROGONIFORMES,0.324989371,0.130836168,-0.008647462,-0.005384364,-0.029924331,0.002780615,0.000794368,-0.000943823
Apalis_thoracica,Apalis,Cisticolidae,PASSERIFORMES,Sylvioidea,-0.127845294,0.033745605,0.010924247,0.014962299,-0.005371767,-0.004789635,0.001036818,-0.002958982
Apaloderma_vittatum,Apaloderma,Trogonidae,TROGONIFORMES,TROGONIFORMES,0.250067017,0.051617211,-0.006170084,0.023134262,-0.040469955,0.009042739,0.006015328,-0.002236139
Apalopteron_familiare,Apalopteron,Zosteropidae,PASSERIFORMES,Meliphagoidea,-0.113026898,-0.070391245,0.029099043,0.011660182,0.004559844,-0.005128214,-0.000260816,0.002510389
Aphanotriccus_capitalis,Aphanotriccus,Tyrannidae,PASSERIFORMES,Tyrannidae,0.094542971,0.075436861,0.103583065,-0.014105593,0.024452705,-0.016853251,0.00066679,0.019937739
Aphantochroa_cirrochloris,Aphantochroa,Trochilidae,APODIFORMES,TROCHILIFORMES,-0.290822117,-0.022481433,-0.003766968,-0.008114583,0.007381413,0.003736328,-0.000311042,0.00478577
Aphelocephala_leucopsis,Aphelocephala,Acanthizidae,PASSERIFORMES,Meliphagoidea,0.059368105,-0.164708505,0.032533217,-0.009990606,-0.027195488,0.00202643,0.010936222,-0.006011136
Aphelocoma_insularis,Aphelocoma,Corvidae,PASSERIFORMES,Corvoidea,-0.026187081,0.159369883,-0.028467355,-0.043053498,0.018441752,0.002810256,-0.004819341,0.004601448
Aphrastura_spinicauda,Aphrastura,Furnariidae,PASSERIFORMES,Furnariidae,-0.100516922,0.122758549,-0.045576821,0.004512355,0.002115771,0.017132359,-0.012513279,-0.001319885
Aphriza_virgata,Aphriza,Scolopacidae,CHARADRIIFORMES,CHARADRIIFORMES,-0.165391994,-0.045698277,0.022712391,-0.028157082,-0.001720603,-0.006651666,0.01949527,-0.010009017
Aplonis_grandis,Aplonis,Sturnidae,PASSERIFORMES,Muscicapoidea,0.081739094,0.184551131,-0.051295777,0.006091406,-0.012233587,0.018215811,-0.007451937,0.000744131
Aplopelia_larvata,Aplopelia,Columbidae,COLUMBIFORMES,COLUMBIFORMES,-0.108700722,0.217029534,-0.085467486,0.008687623,0.033819121,0.000545025,-0.003778043,0.001741598
Aprosmictus_jonquillaceus,Aprosmictus,Psittacidae,PSITTACIFORMES,PSITTACIFORMES,0.290466654,-0.189338296,0.018839062,0.008549778,0.045395591,-0.004889991,-0.003666476,0.014830846
Aptenodytes_forsteri,Aptenodytes,Spheniscidae,SPHENISCIFORMES,SPHENISCIFORMES,-0.090460483,0.285870033,-0.114485596,0.049495448,-0.012891823,0.026588635,0.0022951,-0.003368588
Apteryx_haastii,Apteryx,Apterygidae,APTERYGIFORMES,APTERYGIFORMES,-0.298242929,0.062514623,-0.013084154,0.005529208,0.012904904,-0.00777967,-0.004953786,0.00373446
Apus_apus,Apus,Apodidae,APODIFORMES,APODIFORMES,0.340410833,0.404916101,0.103079434,0.089809814,0.032305964,0.046653871,0.010045345,0.021098598
Aquila_pomarina,Aquila,Accipitridae,ACCIPITRIFORMES,ACCIPITRIFORMES,0.188553781,0.071047398,-0.110376172,0.038025119,-0.001578607,-0.015120975,0.015383789,-0.019228235
Ara_severus,Ara,Psittacidae,PSITTACIFORMES,PSITTACIFORMES,0.189718991,-0.258430364,-0.077545245,0.035998864,0.049594057,-0.028994661,-0.009692318,0.022011607
Arachnothera_robusta,Arachnothera,Nectariniidae,PASSERIFORMES,Passeroidea,-0.275005456,-0.07825581,-0.021593061,0.068509768,0.032349736,0.025272828,-0.006304792,0.004861161
Aramides_cajanea,Aramides,Rallidae,GRUIFORMES,GRUIFORMES,-0.198341504,-0.081478892,-0.024408473,-0.019407839,-0.014602679,0.014857504,0.006113765,-0.001380599
Aramus_guarauna,Aramus,Aramidae,GRUIFORMES,GRUIFORMES,-0.318511732,-0.046375294,-0.020109102,0.008922522,0.006454565,-0.003282201,0.000235357,0.001431705
Aratinga_weddellii,Aratinga,Psittacidae,PSITTACIFORMES,PSITTACIFORMES,0.264059443,-0.216579249,-0.053995037,0.016902661,0.044077102,-0.02217101,-0.016339867,0.01609669
Arborophila_mandellii,Arborophila,Phasianidae,GALLIFORMES,GALLIFORMES,0.077060997,0.096501863,-0.081104174,-0.015940707,0.005667868,0.037076043,0.00625328,0.011231724
Archboldia_papuensis,Archboldia,Ptilonorhynchidae,PASSERIFORMES,Ptilonorhynchoidea,0.127299792,0.280214738,-0.070575249,-0.042693451,-0.022757424,0.015698722,-0.00938871,0.007798823
Archilochus_colubris,Archilochus,Trochilidae,APODIFORMES,TROCHILIFORMES,-0.317722139,0.029057425,-0.021354829,-0.015546195,0.015557704,0.007951357,-0.007549875,0.006565063
