"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"178201","occ","3507","","16930","Hesperocyon gregarius","species","44845","Chadronian","","37.2","33.9","6226"
"178232","occ","","","16932","Hesperocyon gregarius","species","44845","Chadronian","","37.2","33.9","6226"
"178292","occ","","","16940","Hesperocyon","genus","41217","Chadronian","","37.2","33.9","2716"
"178320","occ","","","16941","Hesperocyon","genus","41217","Chadronian","","37.2","33.9","2716"
"178360","occ","","","16943","Hesperocyon gregarius","species","44845","Chadronian","","37.2","33.9","6226"
"178361","occ","3546","","16944","Hesperocyon","genus","41217","Chadronian","","37.2","33.9","1238"
"178395","occ","","","16952","Hesperocyon","genus","41217","Chadronian","","37.2","33.9","2280"
"178435","occ","","","16959","Hesperocyon gregarius","species","44845","Chadronian","","37.2","33.9","3359"
"178465","occ","3578","","16960","Hesperocyon","genus","41217","Chadronian","","37.2","33.9","6294"
"178508","occ","10551","","16961","Hesperocyon gregarius","species","44845","Chadronian","","37.2","33.9","1442"
"178552","occ","3604","","16962","Hesperocyon gregarius","species","44845","Chadronian","","37.2","33.9","6294"
"178603","occ","3620","","16963","Hesperocyon gregarius","species","44845","Chadronian","","37.2","33.9","6294"
"178640","occ","3632","","16964","Hesperocyon gregarius","species","44845","Chadronian","","37.2","33.9","6294"
"178666","occ","3642","","16965","Hesperocyon","genus","41217","Chadronian","","37.2","33.9","6294"
"178682","occ","3648","","16966","Hesperocyon","genus","41217","Chadronian","","37.2","33.9","6294"
"178706","occ","","","16974","Hesperocyon gregarius","species","44845","Chadronian","","37.2","33.9","6226"
"178726","occ","3662","","16977","Hesperocyon gregarius","species","44845","Chadronian","","37.2","33.9","6294"
"178751","occ","","","16979","Canidae","family","41189","Chadronian","","37.2","33.9","3318"
"178799","occ","","","16985","Hesperocyon gregarius","species","44845","Chadronian","","37.2","33.9","6226"
"178805","occ","3684","","16986","Hesperocyon","genus","41217","Chadronian","","37.2","33.9","6294"
"178838","occ","","","16988","Hesperocyon gregarius","species","44845","Chadronian","","37.2","33.9","3359"
"178876","occ","","","16990","Hesperocyon","genus","41217","Chadronian","","37.2","33.9","3359"
"178902","occ","","","16991","Hesperocyon gregarius","species","44845","Chadronian","","37.2","33.9","2743"
"178931","occ","","","16995","Hesperocyon gregarius","species","44845","Chadronian","","37.2","33.9","6226"
"178935","occ","","","16997","Hesperocyon gregarius","species","44845","Chadronian","","37.2","33.9","6226"
"178936","occ","","","16998","Hesperocyon gregarius","species","44845","Chadronian","","37.2","33.9","6226"
"178943","occ","","","17003","Hesperocyon gregarius","species","44845","Chadronian","","37.2","33.9","6226"
"178951","occ","","","17006","Hesperocyon gregarius","species","44845","Chadronian","","37.2","33.9","1235"
"178990","occ","","","17007","Hesperocyon gregarius","species","44845","Chadronian","","37.2","33.9","1235"
"179042","occ","3738","","17010","Hesperocyon gregarius","species","44845","Chadronian","","37.2","33.9","6294"
"179117","occ","","","17014","Hesperocyon","genus","41217","Chadronian","","37.2","33.9","2716"
"179164","occ","","","17017","Hesperocyon gregarius","species","44845","Chadronian","","37.2","33.9","6226"
"179180","occ","","","17022","Hesperocyon gregarius","species","44845","Chadronian","","37.2","33.9","6226"
"179188","occ","","","17024","Hesperocyon gregarius","species","44845","Chadronian","","37.2","33.9","6226"
"179192","occ","","","17025","Hesperocyon gregarius","species","44845","Chadronian","","37.2","33.9","6226"
"179204","occ","","","17028","Hesperocyon gregarius","species","44845","Chadronian","","37.2","33.9","6226"
"179215","occ","","","17029","Canidae","family","41189","Chadronian","","37.2","33.9","3285"
"179261","occ","","","17033","Hesperocyon","genus","41217","Chadronian","","37.2","33.9","2716"
"179273","occ","","","17038","Hesperocyon gregarius","species","44845","Chadronian","","37.2","33.9","6226"
"179305","occ","","","17041","Hesperocyon","genus","41217","Chadronian","","37.2","33.9","3359"
"179312","occ","","","17042","Hesperocyon gregarius","species","44845","Chadronian","","37.2","33.9","6226"
"179314","occ","","","17044","Hesperocyon gregarius","species","44845","Chadronian","","37.2","33.9","6226"
"179344","occ","","","17046","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"179345","occ","","","17047","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"179347","occ","","","17048","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"179349","occ","","","17049","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"179350","occ","","","17050","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"179353","occ","","","17052","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"179355","occ","","","17054","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"179382","occ","","","17062","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","1757"
"179417","occ","","","17073","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"179424","occ","","","17074","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","3637"
"179434","occ","","","17080","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"179465","occ","3835","","17081","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6294"
"179503","occ","3852","","17082","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6294"
"179504","occ","3853","","17082","Hesperocyon coloradensis","species","46910","Orellan","","33.9","33.3","6226"
"179529","occ","3862","","17083","Hesperocyon coloradensis","species","46910","Orellan","","33.9","33.3","6226"
"179534","occ","","","17084","Hesperocyon","genus","41217","Orellan","","33.9","33.3","3554"
"179539","occ","","","17087","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"179577","occ","","","17090","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","3359"
"179589","occ","","","17091","Otarocyon macdonaldi","species","49485","Orellan","","33.9","33.3","3558"
"179593","occ","3866","","17092","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6294"
"179615","occ","3873","","17094","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"179637","occ","3880","","17096","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6294"
"179640","occ","","","17097","Mesocyon temnodon","species","45477","Orellan","","33.9","33.3","6226"
"179648","occ","","","17098","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","1757"
"179665","occ","","","17099","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"179674","occ","","","17100","Hesperocyon","genus","41217","Orellan","","33.9","33.3","1923"
"179677","occ","","","17101","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"179678","occ","","","17101","Osbornodon renjiei","species","49464","Orellan","","33.9","33.3","6226"
"179696","occ","","","17102","Hesperocyon","genus","41217","Orellan","","33.9","33.3","6205"
"179731","occ","","","17104","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"179762","occ","","","17106","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"179763","occ","","","17107","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"179771","occ","","","17108","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","3586"
"179796","occ","","","17109","Hesperocyon","genus","41217","Orellan","","33.9","33.3","3359"
"179806","occ","","","17111","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","3318"
"179823","occ","","","17112","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"179828","occ","","","17114","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"179849","occ","3915","","17117","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6294"
"179856","occ","","","17118","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"179865","occ","","","17123","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"179867","occ","","","17125","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"179869","occ","","","17126","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"179872","occ","","","17128","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"179909","occ","","","17135","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"179933","occ","","","17138","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","3359"
"179938","occ","","","17139","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"179956","occ","","","17143","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"179965","occ","","","17149","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"180008","occ","","","17155","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"180015","occ","","","17159","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"180024","occ","","","17162","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"180044","occ","","","17164","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","1757"
"180067","occ","","","17167","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"180069","occ","","","17168","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"180070","occ","","","17169","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"180076","occ","","","17172","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"180083","occ","","","17173","Hesperocyon","genus","41217","Orellan","","33.9","33.3","6205"
"180104","occ","","","17174","Hesperocyon","genus","41217","Orellan","","33.9","33.3","6205"
"180126","occ","","","17176","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"180127","occ","","","17177","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"180148","occ","","","17181","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"180152","occ","","","17185","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","3556"
"180162","occ","","","17187","Hesperocyon","genus","41217","Orellan","","33.9","33.3","2230"
"180187","occ","","","17188","Hesperocyon","genus","41217","Orellan","","33.9","33.3","2230"
"180204","occ","","","17189","Hesperocyon","genus","41217","Orellan","","33.9","33.3","2230"
"180231","occ","","","17190","Hesperocyon","genus","41217","Orellan","","33.9","33.3","2230"
"180246","occ","","","17192","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"180250","occ","","","17193","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"180253","occ","","","17194","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"180254","occ","","","17195","Otarocyon macdonaldi","species","49485","Orellan","","33.9","33.3","3558"
"180255","occ","","","17196","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"180279","occ","","","17201","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"180286","occ","","","17203","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"180287","occ","","","17204","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"180288","occ","","","17205","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"180291","occ","","","17206","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"180298","occ","","","17207","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"180309","occ","","","17211","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"180314","occ","","","17212","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"180328","occ","","","17216","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"180342","occ","","","17220","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"180351","occ","","","17221","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"180373","occ","","","17231","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"180376","occ","","","17232","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"180385","occ","","","17235","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"180391","occ","","","17237","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"180403","occ","","","17241","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"180427","occ","","","17247","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"180428","occ","","","17248","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"180464","occ","","","17257","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"180469","occ","","","17260","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"180477","occ","","","17265","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"180494","occ","","","17271","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"180512","occ","","","17273","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"180536","occ","","","17286","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"180539","occ","","","17287","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"180542","occ","","","17289","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"180544","occ","","","17290","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"180547","occ","","","17292","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"180589","occ","","","17301","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"180595","occ","","","17303","Hesperocyon gregarius","species","44845","Orellan","","33.9","33.3","6226"
"180599","occ","4085","","17305","Archaeocyon pavidus","species","51186","Whitneyan","","33.3","30.8","6294"
"180600","occ","","","17306","Hesperocyon","genus","41217","Whitneyan","Monroecreekian","33.3","24.8","3319"
"180616","occ","","","17309","Mesocyon temnodon","species","45477","Whitneyan","","33.3","30.8","6226"
"180617","occ","","","17310","Hesperocyon gregarius","species","44845","Whitneyan","","33.3","30.8","6226"
"180627","occ","","","17314","Mesocyon temnodon","species","45477","Whitneyan","","33.3","30.8","6226"
"180628","occ","","","17315","Mesocyon temnodon","species","45477","Whitneyan","","33.3","30.8","6226"
"180629","occ","","","17315","Cynodesmus thooides","species","45466","Whitneyan","","33.3","30.8","6226"
"180642","occ","4094","","17317","Archaeocyon pavidus","species","51186","Whitneyan","","33.3","30.8","6226"
"180643","occ","","","17317","Osbornodon sesnoni","species","44687","Whitneyan","","33.3","30.8","6226"
"180684","occ","4106","","17318","Canidae","family","41189","Orellan","","33.9","33.3","2102"
"180701","occ","","","17322","Mesocyon temnodon","species","45477","Whitneyan","","33.3","30.8","6226"
"180704","occ","","","17323","Cynodesmus thooides","species","45466","Whitneyan","","33.3","30.8","6226"
"180707","occ","","","17325","Hesperocyon gregarius","species","44845","Whitneyan","","33.3","30.8","6226"
"180708","occ","4112","","17325","Archaeocyon pavidus","species","51186","Whitneyan","","33.3","30.8","6294"
"180716","occ","","","17329","Oxetocyon cuspidatus","species","49523","Whitneyan","","33.3","30.8","1705"
"180724","occ","","","17333","Mesocyon temnodon","species","45477","Whitneyan","","33.3","30.8","6226"
"180727","occ","","","17335","Mesocyon temnodon","species","45477","Whitneyan","","33.3","30.8","6226"
"180728","occ","","","17335","Archaeocyon leptodus","species","49212","Whitneyan","","33.3","30.8","3558"
"180737","occ","","","17336","Hesperocyon","genus","41217","Whitneyan","","33.3","30.8","3163"
"180771","occ","","","17337","Hesperocyon","genus","41217","Whitneyan","","33.3","30.8","3163"
"180773","occ","","","17337","Oxetocyon","genus","41229","Whitneyan","","33.3","30.8","3163"
"180795","occ","","","17338","Hesperocyon","genus","41217","Whitneyan","","33.3","30.8","3163"
"180796","occ","","","17338","Oxetocyon","genus","41229","Whitneyan","","33.3","30.8","3163"
"180821","occ","","","17339","Cynodesmus thooides","species","45466","Whitneyan","","33.3","30.8","6226"
"180822","occ","","","17339","Ectopocynus antiquus","species","45989","Whitneyan","","33.3","30.8","6226"
"180842","occ","","","17342","Mesocyon temnodon","species","45477","Whitneyan","","33.3","30.8","6226"
"180843","occ","","","17342","Cynodesmus thooides","species","45466","Whitneyan","","33.3","30.8","6226"
"180846","occ","","","17343","Cynodesmus thooides","species","45466","Whitneyan","","33.3","30.8","6226"
"180872","occ","","","17344","Hesperocyon gregarius","species","44845","Whitneyan","","33.3","30.8","6226"
"180873","occ","","","17344","Mesocyon temnodon","species","45477","Whitneyan","","33.3","30.8","6226"
"180875","occ","4153","","17345","Cynodesmus thooides","species","45466","Whitneyan","","33.3","30.8","6294"
"180882","occ","","","17508","Paraenhydrocyon josephi","species","52163","Arikareean","","30.8","20.43","31438"
"180883","occ","","","17508","Cynarctoides lemur","species","44855","Arikareean","","30.8","20.43","31438"
"180884","occ","","","17349","Phlaocyon latidens","species","46573","Whitneyan","","33.3","30.8","31438"
"180885","occ","","","17349","Archaeocyon pavidus","species","51186","Whitneyan","","33.3","30.8","3558"
"180886","occ","","","17508","Rhizocyon oregonensis","species","45475","Arikareean","","30.8","20.43","3558"
"180889","occ","","","17349","Enhydrocyon","genus","41211","Whitneyan","","33.3","30.8","31438"
"180911","occ","4170","","17356","Archaeocyon pavidus","species","51186","Whitneyan","","33.3","30.8","6294"
"180912","occ","","","17356","Mesocyon temnodon","species","45477","Whitneyan","","33.3","30.8","6226"
"180935","occ","","","17358","Canidae","family","41189","Whitneyan","","33.3","30.8","3707"
"180961","occ","","","17365","Mesocyon temnodon","species","45477","Whitneyan","","33.3","30.8","6226"
"180963","occ","","","17367","Mesocyon temnodon","species","45477","Whitneyan","","33.3","30.8","6226"
"180964","occ","","","17368","Hesperocyon gregarius","species","44845","Whitneyan","","33.3","30.8","6226"
"180985","occ","","","17372","Hesperocyon","genus","41217","Whitneyan","","33.3","30.8","3318"
"181004","occ","","","17374","Oxetocyon cuspidatus","species","49523","Whitneyan","","33.3","30.8","3365"
"181005","occ","","","17374","Hesperocyon gregarius","species","44845","Whitneyan","","33.3","30.8","6226"
"181006","occ","4187","","17374","Archaeocyon pavidus","species","51186","Whitneyan","","33.3","30.8","6294"
"181011","occ","","","17377","Archaeocyon leptodus","species","49212","Whitneyan","","33.3","30.8","3558"
"181014","occ","","","17379","Mesocyon temnodon","species","45477","Whitneyan","","33.3","30.8","6226"
"181019","occ","","","17380","Archaeocyon pavidus","species","51186","Whitneyan","","33.3","30.8","3558"
"181040","occ","","","17384","Hesperocyon","genus","41217","Whitneyan","","33.3","30.8","2230"
"181078","occ","","","17391","Oxetocyon cuspidatus","species","49523","Whitneyan","","33.3","30.8","3557"
"181099","occ","","","17405","Hesperocyon gregarius","species","44845","Whitneyan","","33.3","30.8","6226"
"181137","occ","","","17423","Oxetocyon cuspidatus","species","49523","Whitneyan","","33.3","30.8","3558"
"181146","occ","4249","","17426","Mesocyon temnodon","species","45477","Whitneyan","","33.3","30.8","6294"
"181157","occ","","","17427","Osbornodon renjiei","species","49464","Whitneyan","","33.3","30.8","6226"
"181160","occ","","","17429","Cynodesmus thooides","species","45466","Whitneyan","","33.3","30.8","6226"
"181162","occ","","","17431","Cynodesmus thooides","species","45466","Whitneyan","","33.3","30.8","6226"
"181165","occ","","","17432","Hesperocyon gregarius","species","44845","Whitneyan","","33.3","30.8","6226"
"181175","occ","4261","","17438","Osbornodon sesnoni","species","44687","Whitneyan","","33.3","30.8","6294"
"181182","occ","","","17443","Leptocyon delicatus","species","49577","Arikareean","","30.8","20.43","2356"
"181189","occ","","","17447","Enhydrocyon crassidens","species","46083","Arikareean","","30.8","20.43","2356"
"181200","occ","30158","","17451","Leptocyon vulpinus","species","49219","Harrisonian","","24.8","20.43","52058"
"181201","occ","4275","","17451","Paraenhydrocyon robustus","species","48337","Harrisonian","","24.8","20.43","6294"
"181211","occ","4282","","17452","Cormocyon haydeni","species","45266","Arikareean","","30.8","20.43","3558"
"181218","occ","","","17455","Enhydrocyon crassidens","species","46083","Harrisonian","","24.8","20.43","2356"
"181223","occ","4291","","17456","Leptocyon gregorii","species","49207","Harrisonian","","24.8","20.43","6294"
"181237","occ","4297","","17462","Cynarctoides acridens","species","45441","Arikareean","","30.8","20.43","3558"
"181244","occ","","","17465","Archaeocyon leptodus","species","49212","Arikareean","","30.8","20.43","3558"
"181246","occ","4301","","17466","Paraenhydrocyon josephi","species","52163","Arikareean","","30.8","20.43","6294"
"181262","occ","","","17472","Enhydrocyon pahinsintewakpa","species","51890","Arikareean","","30.8","20.43","6226"
"181263","occ","","","17472","Paraenhydrocyon josephi","species","52163","Arikareean","","30.8","20.43","6226"
"181264","occ","","","17472","Archaeocyon leptodus","species","49212","Arikareean","","30.8","20.43","3558"
"181265","occ","","","17472","Archaeocyon falkenbachi","species","44210","Arikareean","","30.8","20.43","3558"
"181266","occ","","","17472","Otarocyon cooki","species","45456","Arikareean","","30.8","20.43","3558"
"181267","occ","","","17472","Cormocyon haydeni","species","45266","Arikareean","","30.8","20.43","3558"
"181288","occ","","","17474","Cormocyon copei","species","45265","Geringian","","30.8","26.3","3386"
"181311","occ","","","17476","Enhydrocyon pahinsintewakpa","species","51890","Arikareean","","30.8","20.43","4229"
"181312","occ","","","17476","Osbornodon wangi","species","49466","Arikareean","","30.8","20.43","4229"
"181313","occ","","","17476","Phlaocyon taylori","species","50350","Arikareean","","30.8","20.43","4229"
"181324","occ","4333","","17479","Archaeocyon leptodus","species","49212","Arikareean","","30.8","20.43","3558"
"181334","occ","","","17483","Cynodesmus thooides","species","45466","Arikareean","","30.8","20.43","6226"
"181338","occ","","","17486","Cynodesmus thooides","species","45466","Geringian","","30.8","26.3","6226"
"181345","occ","","","17487","Phlaocyon taylori","species","50350","Geringian","Monroecreekian","30.8","24.8","4229"
"181362","occ","","","17492","Hesperocyon","genus","41217","Arikareean","","30.8","20.43","3496"
"181365","occ","","","17493","Paraenhydrocyon josephi","species","52163","Arikareean","","30.8","20.43","6226"
"181366","occ","","","17493","Caedocyon tedfordi","species","44744","Arikareean","","30.8","20.43","6226"
"181414","occ","4358","","17497","Mesocyon coryphaeus","species","52161","Arikareean","","30.8","20.43","6226"
"181415","occ","","","17497","Canidae","family","41189","Arikareean","","30.8","20.43","1359"
"181446","occ","","","93078","Leptocyon mollis","species","300744","Arikareean","","30.8","20.43","31438"
"181447","occ","","","93078","Osbornodon sesnoni","species","44687","Arikareean","","30.8","20.43","31438"
"181448","occ","","","93078","Paraenhydrocyon josephi","species","52163","Arikareean","","30.8","20.43","31438"
"181449","occ","","","93078","Mesocyon coryphaeus","species","52161","Arikareean","","30.8","20.43","31438"
"181450","occ","","","93078","Mesocyon brachyops","species","48330","Arikareean","","30.8","20.43","31438"
"181451","occ","","","93078","Cynarctoides lemur","species","44855","Arikareean","","30.8","20.43","31438"
"181452","occ","","","93078","Phlaocyon latidens","species","46573","Arikareean","","30.8","20.43","31438"
"181454","occ","","","93078","Cormocyon copei","species","45265","Arikareean","","30.8","20.43","31438"
"181455","occ","","","93078","Rhizocyon oregonensis","species","45475","Arikareean","","30.8","20.43","31438"
"181456","occ","4381","","17508","Enhydrocyon stenocephalus","species","46090","Arikareean","","30.8","20.43","6294"
"181475","occ","","","17509","Cynodesmus thooides","species","45466","Arikareean","","30.8","20.43","1382"
"181503","occ","","","17514","Enhydrocyon","genus","41211","Arikareean","","30.8","20.43","3345"
"181510","occ","","","17515","Enhydrocyon","genus","41211","Arikareean","","30.8","20.43","3345"
"181524","occ","4407","","17517","Otarocyon cooki","species","45456","Arikareean","","30.8","20.43","6294"
"181525","occ","4408","","17517","Cynarctoides lemur","species","44855","Arikareean","","30.8","20.43","6294"
"181531","occ","4412","","17519","Borophaginae","subfamily","83323","Harrisonian","","24.8","20.43","6294"
"181543","occ","","","17522","Cynarctoides roii","species","49217","Arikareean","","30.8","20.43","3558"
"181549","occ","","","17524","Archaeocyon leptodus","species","49212","Arikareean","","30.8","20.43","3558"
"181558","occ","","","17526","Canidae","family","41189","Monroecreekian","","26.3","24.8","3313"
"181588","occ","4435","","17527","Mesocyon brachyops","species","48330","Arikareean","","30.8","20.43","6294"
"181590","occ","4437","","17527","Archaeocyon pavidus","species","51186","Arikareean","","30.8","20.43","3258"
"181636","occ","","","17532","Philotrox condoni","species","50341","Arikareean","","30.8","20.43","6226"
"181637","occ","","","17532","Enhydrocyon pahinsintewakpa","species","51890","Arikareean","","30.8","20.43","6226"
"181638","occ","","","17532","Ectopocynus antiquus","species","45989","Arikareean","","30.8","20.43","6226"
"181639","occ","","","17532","Ectopocynus intermedius","species","45990","Arikareean","","30.8","20.43","6226"
"181640","occ","","","17532","Archaeocyon leptodus","species","49212","Arikareean","","30.8","20.43","3558"
"181641","occ","","","17532","Otarocyon cooki","species","45456","Arikareean","","30.8","20.43","3558"
"181642","occ","","","17532","Phlaocyon minor","species","45462","Arikareean","","30.8","20.43","3558"
"181662","occ","","","17536","Paraenhydrocyon josephi","species","52163","Arikareean","","30.8","20.43","6226"
"181664","occ","","","17537","Mesocyon brachyops","species","48330","Arikareean","","30.8","20.43","31438"
"181666","occ","","","17537","Cormocyon copei","species","45265","Arikareean","","30.8","20.43","31438"
"181667","occ","","","17537","Rhizocyon oregonensis","species","45475","Arikareean","","30.8","20.43","31438"
"181697","occ","","","17538","Canidae","family","41189","Arikareean","","30.8","20.43","2417"
"181721","occ","4482","","17540","Cynodesmus thooides","species","45466","Arikareean","","30.8","20.43","6226"
"181722","occ","","","17540","Canidae","family","41189","Arikareean","","30.8","20.43","2831"
"181742","occ","","","17542","Canidae","family","41189","Arikareean","","30.8","20.43","3500"
"181770","occ","","","17543","Canidae","family","41189","Arikareean","","30.8","20.43","2831"
"181787","occ","4503","","17545","Canidae","family","41189","Monroecreekian","","26.3","24.8","6294"
"181791","occ","","","17547","Enhydrocyon crassidens","species","46083","Monroecreekian","","26.3","24.8","2356"
